,ZC,TP,MA,TM,TF,TH,AHS,MTW
83,90249,26669,37.2,12897,13772,8880,2.98,0.9364652918966018
84,90250,93193,31.9,45113,48080,31087,2.98,0.9382903494176372
85,90254,19506,37.0,10273,9233,9550,2.04,1.1126394454673454
86,90255,75066,29.1,37525,37541,18419,4.06,0.9995737993127514
87,90260,34924,32.7,17509,17415,10429,3.33,1.0053976457077232
88,90262,69745,27.8,33919,35826,14669,4.57,0.9467705018701502
89,90263,1612,19.7,665,947,0,0.0,0.7022175290390708
90,90265,18116,46.5,9159,8957,7174,2.39,1.0225521938148934
91,90266,35135,40.9,17605,17530,14038,2.5,1.004278379920137
92,90270,27372,27.9,13992,13380,6554,4.16,1.0457399103139013
93,90272,22986,47.3,10952,12034,9212,2.49,0.9100880837626725
94,90274,25209,49.4,12199,13010,9479,2.66,0.937663335895465
95,90275,41804,47.8,20283,21521,15618,2.65,0.9424747920635658
96,90277,35293,42.0,17521,17772,16910,2.07,0.9858766599144722
97,90278,40071,38.2,19848,20223,16009,2.49,0.9814567571576918
98,90280,94396,29.4,46321,48075,23278,4.05,0.9635153406136245
99,90290,6368,45.0,3180,3188,2612,2.44,0.9974905897114178
100,90291,28341,37.6,14757,13584,14261,1.95,1.086351590106007
101,90292,21576,41.2,10729,10847,12654,1.7,0.98912141605974
102,90293,12132,40.4,5890,6242,6575,1.83,0.9436078180070491
103,90301,36568,32.6,17633,18935,11895,3.01,0.9312384473197782
104,90302,29415,32.8,13803,15612,10684,2.74,0.8841275941583397
105,90303,26176,30.4,12733,13443,7290,3.58,0.9471844082422078
106,90304,28210,28.1,14503,13707,6634,4.22,1.0580725176916903
107,90305,14853,43.3,6552,8301,5933,2.46,0.7893024936754608
108,90401,6722,37.8,3524,3198,4188,1.49,1.1019387116948092
109,90402,12250,47.0,5809,6441,5301,2.31,0.9018785902810122
110,90403,24525,40.8,11426,13099,13970,1.74,0.8722803267424994
111,90404,21360,37.4,10292,11068,10089,2.01,0.9298879653053849
112,90405,27186,40.8,13364,13822,14376,1.87,0.9668644190421067
113,90501,43180,35.0,21483,21697,14610,2.94,0.9901368852836798
114,90502,18010,40.2,8811,9199,5717,2.94,0.9578215023372105
115,90503,44383,40.8,21481,22902,17183,2.55,0.9379530172037377
116,90504,32102,40.3,15886,16216,11580,2.76,0.9796497286630489
117,90505,36678,43.0,17684,18994,14244,2.55,0.931030851847952
118,90506,0,0.0,0,0,0,0.0,
119,90601,31974,36.6,15312,16662,11027,2.89,0.9189773136478214
120,90602,25777,30.9,12720,13057,7980,3.09,0.9741900896071073
121,90603,20063,39.4,9694,10369,6788,2.93,0.9349021120648086
122,90604,39407,34.1,19270,20137,11932,3.29,0.9569449272483488
123,90605,40331,32.6,20033,20298,10527,3.81,0.9869445265543403
124,90606,32396,33.5,15936,16460,8633,3.72,0.9681652490886998
125,90621,35153,32.1,17377,17776,10304,3.38,0.97755400540054
126,90623,15554,41.2,7516,8038,5072,3.06,0.9350584722567803
127,90630,47993,40.0,23204,24789,15785,3.02,0.9360603493485014
128,90631,67619,34.8,33320,34299,21452,3.13,0.9714568937869908
129,90638,49012,37.9,23520,25492,14821,3.11,0.922642397614938
130,90640,62549,34.7,30189,32360,19027,3.27,0.9329110012360939
131,90650,105549,32.5,52364,53185,27130,3.83,0.9845633167246404
132,90660,62928,34.0,30738,32190,16564,3.77,0.9548928238583411
133,90670,14866,36.2,7163,7703,4393,3.34,0.9298974425548487
134,90701,16591,38.2,8227,8364,4553,3.51,0.9836202773792444
135,90703,49399,43.9,23785,25614,15604,3.16,0.9285937377996408
136,90704,4090,37.2,2101,1989,1629,2.5,1.056309703368527
137,90706,76615,31.9,37203,39412,23650,3.21,0.9439510808890693
138,90710,25457,36.7,12291,13166,8717,2.91,0.9335409387817105
139,90712,31499,38.4,15277,16222,10794,2.91,0.9417457773394156
140,90713,27925,39.0,13574,14351,9447,2.95,0.9458574315378719
141,90715,20388,33.9,9935,10453,6105,3.33,0.9504448483688893
142,90716,14184,28.3,7078,7106,3515,4.03,0.9960596678862933
143,90717,21318,39.5,10317,11001,8520,2.48,0.9378238341968912
144,90720,21751,41.7,10423,11328,7789,2.74,0.9201094632768362
145,90723,54099,28.6,26315,27784,13882,3.87,0.9471278433630866
146,90731,59662,35.6,29951,29711,22044,2.62,1.0080778162969943
147,90732,21115,45.0,9843,11272,8611,2.38,0.8732256919801278
148,90740,23729,57.5,10423,13306,12830,1.83,0.7833308281978055
149,90744,53815,28.7,27298,26517,13999,3.83,1.0294528038616737
150,90745,57251,37.1,27754,29497,15210,3.73,0.9409092450079669
151,90746,25990,40.7,11944,14046,8050,3.14,0.8503488537661967
152,90747,0,0.0,0,0,0,0.0,
153,90755,11074,36.1,5462,5612,4172,2.64,0.9732715609408411
154,90802,39347,34.7,20387,18960,19853,1.93,1.0752637130801688
155,90803,32031,42.7,15609,16422,17318,1.84,0.9504932407745706
156,90804,40311,29.8,19686,20625,14556,2.7,0.9544727272727273
157,90805,93524,29.0,45229,48295,26056,3.56,0.9365151672015737
158,90806,42399,30.3,20717,21682,12184,3.44,0.9554930356978139
159,90807,31481,39.7,15153,16328,12452,2.49,0.9280377266046056
160,90808,38232,41.6,18408,19824,14167,2.69,0.9285714285714286
161,90810,36735,31.8,18067,18668,9289,3.9,0.9678058710092137
162,90813,58911,27.3,29425,29486,16425,3.5,0.9979312215966899
163,90814,19131,37.2,9356,9775,9170,2.06,0.9571355498721228
164,90815,39733,37.9,19124,20609,14836,2.53,0.9279441020913193
165,90822,117,63.9,109,8,2,4.5,13.625
166,90831,0,0.0,0,0,0,0.0,
167,91001,36126,41.6,17421,18705,12663,2.83,0.931355252606255
168,91006,31715,42.7,15283,16432,10652,2.98,0.9300754625121713
169,91007,34095,43.8,16039,18056,12033,2.73,0.8882919805050953
170,91008,1391,54.6,614,777,562,2.39,0.7902187902187903
171,91010,26074,38.1,12461,13613,7972,3.2,0.9153750091823992
172,91011,20280,45.9,9863,10417,6859,2.95,0.9468177018335413
173,91016,40598,37.9,19434,21164,15029,2.69,0.9182574182574182
174,91020,8415,40.2,3966,4449,3385,2.43,0.8914362778152394
175,91024,10917,46.6,5165,5752,4837,2.26,0.8979485396383866
176,91030,25616,40.1,12160,13456,10466,2.43,0.9036860879904876
177,91040,20372,43.3,10120,10252,7359,2.72,0.9871244635193133
178,91042,27585,40.7,13734,13851,9987,2.74,0.9915529564652371
179,91046,156,74.0,51,105,114,1.37,0.4857142857142857
180,91101,20460,33.7,9926,10534,10869,1.86,0.9422821340421492
181,91103,27480,35.0,13481,13999,8492,3.11,0.9629973569540682
182,91104,36751,38.2,17874,18877,12922,2.8,0.9468665571859936
183,91105,11254,49.0,5432,5822,5213,2.07,0.9330127104087942
184,91106,24229,34.6,11993,12236,10723,2.17,0.9801405688133377
185,91107,32940,41.2,15940,17000,13028,2.51,0.9376470588235294
186,91108,13361,45.4,6410,6951,4415,3.01,0.9221694720184146
187,91201,22781,40.4,11123,11658,8150,2.78,0.9541087665122663
188,91202,22830,41.7,10805,12025,8879,2.56,0.8985446985446985
189,91203,13220,38.9,6279,6941,5044,2.62,0.9046246938481487
190,91204,16032,38.1,7699,8333,5639,2.76,0.9239169566782671
191,91205,37810,39.1,18084,19726,14089,2.67,0.9167596066105648
192,91206,33065,42.6,15544,17521,13261,2.48,0.8871639746589807
193,91207,10506,45.5,4924,5582,4097,2.56,0.8821211035471157
194,91208,16245,43.6,7756,8489,6106,2.66,0.9136529626575568
195,91210,328,33.9,162,166,178,1.84,0.9759036144578314
196,91214,30356,42.5,14642,15714,10551,2.87,0.9317805778286878
197,91301,25488,42.7,12511,12977,9208,2.76,0.9640903136318101
198,91302,25709,42.4,12487,13222,9303,2.76,0.944410830434125
199,91303,26855,31.1,13907,12948,8697,3.08,1.0740654927401916
200,91304,50231,35.9,24827,25404,16532,3.0,0.9772870414108015
201,91306,45061,35.4,22679,22382,13635,3.28,1.0132695916361363
202,91307,24474,43.4,11939,12535,8315,2.91,0.9524531312325488
203,91311,36557,42.7,17838,18719,13425,2.66,0.9529355200598323
204,91316,26898,42.1,12717,14181,11911,2.26,0.8967632748043156
205,91321,34882,33.3,17402,17480,11215,3.04,0.995537757437071
206,91324,27669,36.5,13545,14124,9289,2.95,0.9590059473237044
207,91325,32417,35.4,15819,16598,11825,2.72,0.9530666345342812
208,91326,33708,42.7,16394,17314,11770,2.86,0.9468638096338223
209,91330,2702,19.6,1103,1599,2,2.5,0.6898061288305191
210,91331,103689,29.5,52358,51331,22465,4.6,1.0200074029338997
211,91335,74363,35.5,36596,37767,22855,3.21,0.9689940953742685
212,91340,34188,30.1,17130,17058,8176,4.17,1.004220893422441
213,91342,91725,31.9,45786,45939,23543,3.83,0.9966694965062365
214,91343,60254,32.3,30145,30109,16802,3.55,1.001195655783985
215,91344,51747,41.0,25212,26535,16872,3.03,0.9501413227812323
216,91345,18496,35.7,9110,9386,5192,3.52,0.9705945024504581
217,91350,33348,36.4,16270,17078,10991,3.01,0.9526876683452394
218,91351,32362,33.9,16086,16276,10036,3.22,0.9883263701155075
219,91352,47807,32.1,23980,23827,11985,3.95,1.0064212867755067
220,91354,28722,36.4,14046,14676,9522,3.01,0.9570727718724448
221,91355,32605,38.8,15773,16832,12772,2.51,0.9370841254752852
222,91356,29458,41.7,14216,15242,11686,2.5,0.9326859992127018
223,91361,20438,47.6,9854,10584,8374,2.43,0.9310279667422524
224,91362,36045,42.6,17562,18483,13563,2.65,0.9501704268787534
225,91364,25851,44.0,12739,13112,10409,2.47,0.9715527760829774
226,91367,39499,41.0,19171,20328,16697,2.35,0.9430834317197954
227,91377,13811,41.7,6641,7170,5158,2.68,0.9262203626220362
228,91381,20158,36.0,9852,10306,6636,3.04,0.9559479914612847
229,91384,29855,32.5,18503,11352,6925,3.3,1.6299330514446793
230,91387,40328,33.0,20106,20222,12871,3.13,0.9942636732271783
231,91390,19786,40.1,9911,9875,6369,3.07,1.003645569620253
232,91401,39285,36.0,19613,19672,14380,2.7,0.9970008133387556
233,91402,69817,30.1,35095,34722,18194,3.81,1.0107424687518
234,91403,23484,39.4,11277,12207,11358,2.06,0.9238142049643647
235,91405,51145,32.6,25498,25647,16256,3.11,0.9941903536476001
236,91406,51558,33.6,25956,25602,17042,3.02,1.013827044762128
237,91411,24628,33.8,12495,12133,9177,2.63,1.0298359845050689
238,91423,30991,39.2,14789,16202,14876,2.07,0.9127885446241205
239,91436,14372,46.5,6890,7482,5552,2.57,0.9208767709168671
240,91501,20849,38.3,10040,10809,8235,2.53,0.9288555833102045
241,91502,11371,36.4,5402,5969,5001,2.26,0.9050092142737477
242,91504,24939,38.6,12006,12933,9180,2.69,0.9283228949199722
243,91505,30778,38.9,15121,15657,13180,2.33,0.9657661110046625
244,91506,18904,40.9,9115,9789,7555,2.45,0.9311472060476045
245,91601,37180,32.9,18932,18248,15970,2.32,1.0374835598421746
246,91602,17473,38.0,8722,8751,9277,1.88,0.9966860930179408
247,91604,29034,40.2,14271,14763,14292,2.01,0.9666734403576509
248,91605,56343,31.9,28417,27926,15357,3.61,1.0175821814796246
249,91606,44958,34.3,22376,22582,14903,3.0,0.9908776901957311
250,91607,27927,38.2,13635,14292,12859,2.15,0.9540302267002518
251,91608,0,0.0,0,0,0,0.0,
252,91702,59705,29.4,29486,30219,15455,3.67,0.9757437373837652
253,91706,76571,30.5,37969,38602,17504,4.35,0.983601885912647
254,91709,74796,36.6,36954,37842,22940,3.25,0.9765340098303472
255,91710,80358,33.0,42283,38075,21952,3.43,1.1105187130663166
256,91711,35705,38.6,16777,18928,11868,2.58,0.8863588334742181
257,91722,34409,34.0,16859,17550,10079,3.41,0.9606267806267806
258,91723,18275,35.0,8783,9492,6296,2.86,0.9253055204382638
259,91724,26184,37.9,12780,13404,8508,3.05,0.9534467323187108
260,91731,29591,32.9,14888,14703,8007,3.66,1.012582466163368
261,91732,61386,31.4,30755,30631,14700,4.13,1.0040481864777513
262,91733,43896,30.5,22191,21705,9918,4.4,1.0223911541119557
263,91740,25356,38.5,12269,13087,8376,2.94,0.937495224268358
264,91741,25824,41.8,12498,13326,9126,2.82,0.9378658262044124
265,91744,85040,30.9,42564,42476,18648,4.55,1.002071758169319
266,91745,54013,40.1,26287,27726,16188,3.33,0.9480992570150761
267,91746,30485,32.4,15116,15369,6743,4.5,0.9835382913657362
268,91748,45406,39.8,22368,23038,13311,3.4,0.9709176143762479
269,91750,33249,42.6,15881,17368,11944,2.71,0.914382772915707
270,91754,32742,42.9,15620,17122,11193,2.92,0.9122766032005607
271,91755,27496,43.4,13271,14225,8760,3.12,0.9329349736379613
272,91759,476,47.2,239,237,216,2.2,1.0084388185654007
273,91763,36375,30.8,18099,18276,9450,3.81,0.9903151674326987
274,91765,46457,40.8,22702,23755,15039,3.08,0.9556724900021049
275,91766,71599,28.7,36111,35488,17708,4.01,1.01755522993688
276,91767,48068,31.2,23685,24383,13691,3.47,0.9713734979288848
277,91768,34537,27.3,17509,17028,7885,3.87,1.0282475922010805
278,91770,62097,38.3,30521,31576,16588,3.7,0.9665885482645047
279,91773,33119,42.5,15737,17382,11941,2.73,0.9053618685997008
280,91775,23988,41.4,11448,12540,8227,2.9,0.9129186602870814
281,91776,38475,39.0,18751,19724,11776,3.24,0.9506692354491989
282,91780,34332,41.1,16438,17894,11318,3.03,0.9186319436682687
283,91784,25938,44.5,12729,13209,8934,2.9,0.9636611401317283
284,91786,51165,33.0,24516,26649,18087,2.79,0.9199594731509625
285,91789,43079,42.8,20988,22091,12891,3.31,0.9500701643203114
286,91790,44907,35.2,21721,23186,12751,3.49,0.9368153195894074
287,91791,32414,38.0,15512,16902,10236,3.15,0.9177612116909242
288,91792,30854,35.3,14950,15904,9154,3.35,0.9400150905432596
289,91801,52735,39.1,24833,27902,19315,2.71,0.8900078847394453
290,91803,30322,39.6,14486,15836,9894,3.04,0.9147511997979287
291,92301,32725,25.6,16857,15868,8132,3.81,1.0623266952356945
292,92371,16763,37.9,8565,8198,5370,3.11,1.04476701634545
293,92372,6220,41.8,3136,3084,2198,2.83,1.0168612191958495
294,92397,4894,44.1,2522,2372,1998,2.45,1.063237774030354
295,92821,35533,38.7,17338,18195,13062,2.72,0.9528991481176148
296,92823,3613,38.6,1757,1856,1154,3.13,0.9466594827586207
297,92833,51767,36.0,25643,26124,15849,3.23,0.9815878119736641
298,93040,2031,29.3,1052,979,522,3.89,1.0745658835546477
299,93063,54366,39.0,26592,27774,18650,2.9,0.9574422121408511
300,93225,5077,44.0,2585,2492,2080,2.44,1.0373194221508828
301,93243,1699,40.9,884,815,623,2.73,1.0846625766871165
302,93252,4176,38.4,3301,875,647,2.81,3.7725714285714287
303,93510,7993,45.2,4086,3907,2729,2.86,1.0458152034809316
304,93523,3074,27.0,1531,1543,1056,2.91,0.9922229423201555
305,93532,2932,41.7,1642,1290,1079,2.45,1.2728682170542636
306,93534,39341,31.1,18601,20740,14038,2.74,0.8968659594985535
307,93535,72046,28.3,34879,37167,20672,3.44,0.9384400139909059
308,93536,70918,34.4,37804,33114,20964,3.07,1.141631938153047
309,93543,13033,32.9,6695,6338,3560,3.66,1.05632691700852
310,93544,1259,52.4,689,570,569,2.2,1.2087719298245614
311,93550,74929,27.5,36414,38515,20864,3.58,0.9454498247436064
312,93551,50798,37.0,25056,25742,15963,3.18,0.9733509439825966
313,93552,38158,28.4,18711,19447,9690,3.93,0.9621535455340156
314,93553,2138,43.3,1121,1017,816,2.62,1.1022615535889873
315,93560,18910,32.4,9491,9419,6469,2.92,1.0076441235799978
316,93563,388,44.5,263,125,103,2.53,2.104
317,93591,7285,30.9,3653,3632,1982,3.67,1.0057819383259912
